ticker,mean_return
GAZP,0.00016122151618206898
LKOH,-0.000535571229808908
SNGSP,-0.0012402915551066875
BANEP,-0.0011776335431422174
TATNP,-0.0005095710228787747
GMKN,0.0012713261478623987
PLZL,-0.0011873023706857413
RASP,-0.0014164991411701555
TRMK,0.0003481445709144075
MTLR,-0.0006027545156705251
SBER,0.0004871463958046645
VTBR,5.534311406159989e-05
BSPB,-0.0004345123895818407
AFKS,2.1609610979030218e-06
CBOM,-0.0015729539035337803
MGNT,-0.0017772520491193366
PIKK,0.0007652869989279229
MVID,0.00040602138970092426
ALRS,-0.0010117363872378649
TTLK,-0.0003686816875201502
MTSS,0.0004120887001550323
RTKM,0.000491607215642416
RTKMP,0.0007717122650085763
AFLT,0.0002357240057654067
MGTS,0.00039204043819803213
IRAO,-0.0005157746520302104
OGKB,0.0003812188018211896
TGKA,-0.0003088795142367113
UPRO,-0.0002480806798740225
LSNGP,0.0015543414052835976
