point_id,scenario_name,target_return,portfolio_return,portfolio_risk
1,unrestricted_short,-6.164858433941518e-05,-6.164858433941518e-05,0.008360550846292883
2,unrestricted_short,0.00012273848158517585,0.00012273848158517587,0.008381742383688244
3,unrestricted_short,0.0003071255475097669,0.00030712554750976685,0.00844541730065888
4,unrestricted_short,0.0004915126134343579,0.0004915126134343579,0.008550690636405999
5,unrestricted_short,0.000675899679358949,0.000675899679358949,0.008695976917395244
6,unrestricted_short,0.00086028674528354,0.0008602867452835398,0.00887938844894635
7,unrestricted_short,0.001044673811208131,0.001044673811208131,0.009098546000555045
8,unrestricted_short,0.0012290608771327218,0.0012290608771327218,0.009351008591134463
9,unrestricted_short,0.001413447943057313,0.0014134479430573132,0.009634088429876434
10,unrestricted_short,0.0015978350089819041,0.001597835008981904,0.00994523908361106
11,unrestricted_short,0.001782222074906495,0.001782222074906495,0.010281846957708519
12,unrestricted_short,0.001966609140831086,0.0019666091408310857,0.010641559831660836
13,unrestricted_short,0.0021509962067556773,0.0021509962067556773,0.011022054723006774
14,unrestricted_short,0.0023353832726802685,0.0023353832726802685,0.011421313730954863
15,unrestricted_short,0.002519770338604859,0.0025197703386048587,0.011837381477419435
16,unrestricted_short,0.0027041574045294503,0.0027041574045294503,0.01226860283409754
17,unrestricted_short,0.0028885444704540414,0.002888544470454041,0.012713382973733409
18,unrestricted_short,0.0030729315363786326,0.0030729315363786326,0.013170399391462004
19,unrestricted_short,0.0032573186023032237,0.003257318602303223,0.013638372685241663
20,unrestricted_short,0.0034417056682278144,0.003441705668227814,0.014116260879931652
21,unrestricted_short,0.0036260927341524056,0.003626092734152406,0.014603044505723695
22,unrestricted_short,0.0038104798000769967,0.0038104798000769963,0.015097907762330005
23,unrestricted_short,0.003994866866001587,0.003994866866001587,0.015600038610228422
24,unrestricted_short,0.0041792539319261785,0.0041792539319261785,0.016108799236418277
25,unrestricted_short,0.004363640997850769,0.004363640997850769,0.016623540444651315
26,unrestricted_short,0.00454802806377536,0.004548028063775361,0.017143762811836417
27,unrestricted_short,0.0047324151296999515,0.0047324151296999515,0.017668944101421794
28,unrestricted_short,0.004916802195624542,0.004916802195624542,0.018198691994966296
29,unrestricted_short,0.005101189261549133,0.005101189261549134,0.0187325831340274
30,unrestricted_short,0.0052855763274737245,0.005285576327473724,0.019270308087227486
31,unrestricted_short,0.005469963393398315,0.005469963393398315,0.01981152070279304
32,unrestricted_short,0.005654350459322907,0.005654350459322907,0.020355975871855163
33,unrestricted_short,0.0058387375252474975,0.005838737525247498,0.020903388019912386
34,unrestricted_short,0.006023124591172088,0.006023124591172088,0.021453562177044243
35,unrestricted_short,0.00620751165709668,0.00620751165709668,0.022006260594083345
36,unrestricted_short,0.0063918987230212705,0.0063918987230212705,0.022561327597083625
37,unrestricted_short,0.006576285788945862,0.006576285788945861,0.023118563459442375
38,unrestricted_short,0.006760672854870453,0.006760672854870453,0.023677843488616537
39,unrestricted_short,0.0069450599207950435,0.006945059920795043,0.024238998411479223
40,unrestricted_short,0.007129446986719635,0.007129446986719636,0.024801928111938876
41,unrestricted_short,0.007313834052644226,0.007313834052644226,0.025366487892985706
42,unrestricted_short,0.0074982211185688164,0.007498221118568817,0.025932597253997075
43,unrestricted_short,0.007682608184493408,0.007682608184493407,0.026500131481337185
44,unrestricted_short,0.007866995250418,0.007866995250418,0.027069025824290743
45,unrestricted_short,0.00805138231634259,0.00805138231634259,0.027639171939499118
46,unrestricted_short,0.008235769382267182,0.008235769382267184,0.02821051779539134
47,unrestricted_short,0.008420156448191773,0.008420156448191773,0.028782968556841093
48,unrestricted_short,0.008604543514116363,0.008604543514116363,0.029356482520253226
49,unrestricted_short,0.008788930580040955,0.008788930580040955,0.02993097607591305
50,unrestricted_short,0.008973317645965546,0.008973317645965546,0.030506415949921834
51,unrestricted_short,0.009157704711890136,0.009157704711890136,0.03108272792467749
52,unrestricted_short,0.009342091777814728,0.009342091777814728,0.03165988563983177
53,unrestricted_short,0.00952647884373932,0.00952647884373932,0.032237822787713845
54,unrestricted_short,0.00971086590966391,0.00971086590966391,0.0328165187034621
55,unrestricted_short,0.0098952529755885,0.009895252975588499,0.03339591378319252
